Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Asus,Notebook,4.0,2.8,10.11974666035778,0.0,0.0,90.58340172449304,Other Intel Processor,1000.0,0.0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4.0,0.69,9.74075212901698,1.0,,224.1738090785728,Other Intel Processor,0.0,0.0,Intel,Others
Acer,Notebook,8.0,2.2,10.71015268620508,0.0,1.0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
HP,Notebook,,1.86,9.963243430044656,0.0,0.0,141.21199808219862,AMD Processor,0.0,256.0,AMD,Windows
HP,Notebook,8.0,,10.981350045485636,0.0,0.0,165.6321180513006,Intel Core i7,0.0,512.0,Intel,Windows
Acer,Notebook,4.0,2.4,9.92620357881986,,,100.45466986113652,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Notebook,8.0,2.13,10.619090308798832,0.0,,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
HP,Notebook,4.0,1.91,10.060060439307303,0.0,0.0,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Windows
Asus,Notebook,4.0,,10.349204995339194,0.0,0.0,100.45466986113652,Intel Core i5,0.0,256.0,Intel,Windows
MSI,Gaming,16.0,2.43,11.7789960831843,0.0,0.0,,Intel Core i7,2000.0,256.0,Nvidia,Windows
Asus,Notebook,4.0,2.0,10.003839546462832,,0.0,141.21199808219862,Intel Core i3,0.0,256.0,Intel,Others
Dell,Notebook,16.0,2.8,11.144911042902732,0.0,0.0,127.33567457123112,Intel Core i7,2000.0,256.0,AMD,Windows
Dell,Ultrabook,8.0,1.7,10.754345923917311,0.0,0.0,157.3505121487356,Intel Core i5,0.0,,Intel,Windows
Lenovo,Notebook,8.0,1.7,10.370822624347584,0.0,1.0,157.3505121487356,Intel Core i3,0.0,256.0,Intel,Others
Asus,Notebook,8.0,1.4,10.822504165817511,0.0,0.0,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,8.0,1.86,10.51225262382344,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Asus,Ultrabook,16.0,,11.56792715475193,0.0,0.0,141.21199808219862,Intel Core i7,0.0,512.0,Nvidia,Windows
HP,Notebook,4.0,1.86,10.059354039524033,0.0,0.0,100.45466986113652,Intel Core i3,500.0,,AMD,Windows
HP,Notebook,4.0,1.44,9.409283029786373,0.0,0.0,111.93520355955212,Other Intel Processor,0.0,32.0,Intel,Windows
Lenovo,Notebook,,1.9,10.283659467741664,0.0,0.0,141.21199808219862,Intel Core i5,1000.0,0.0,Intel,Windows
Asus,Gaming,12.0,3.0,,0.0,0.0,127.33567457123112,Intel Core i7,1000.0,0.0,Nvidia,Others
Microsoft,Ultrabook,4.0,1.252,10.968576149165091,1.0,0.0,200.84255993695703,Intel Core i5,0.0,128.0,Intel,Windows
Dell,Ultrabook,8.0,1.4,,0.0,,165.6321180513006,Intel Core i7,0.0,256.0,AMD,Windows
Dell,Notebook,8.0,2.2,10.744054237880762,0.0,0.0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
MSI,Gaming,8.0,2.7,10.974070668482735,,0.0,127.33567457123112,Intel Core i5,1000.0,128.0,Nvidia,Windows
Acer,Notebook,8.0,2.1,9.93914036985058,0.0,0.0,,Intel Core i3,1000.0,0.0,Intel,Windows
Asus,Gaming,8.0,,10.83096982484206,,0.0,141.21199808219862,Intel Core i7,,0.0,Nvidia,Windows
Lenovo,Notebook,8.0,2.2,10.227464909398025,0.0,0.0,141.21199808219862,Intel Core i5,2000.0,0.0,Intel,Others
Dell,Notebook,8.0,2.02,10.726662495168894,0.0,0.0,141.21199808219862,Intel Core i7,,128.0,Intel,Windows
Acer,Notebook,4.0,2.2,10.2484380327783,0.0,0.0,141.21199808219862,Intel Core i3,,0.0,Nvidia,Windows
HP,Notebook,,,10.860047678274915,0.0,0.0,127.33567457123112,Intel Core i5,1000.0,,Nvidia,Windows
Dell,Ultrabook,8.0,1.88,10.975129468486722,0.0,1.0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Apple,Ultrabook,8.0,0.92,11.295425956041104,0.0,1.0,226.4155471693585,Intel Core i5,0.0,,Intel,Mac
HP,Notebook,8.0,1.63,10.732493415479688,0.0,0.0,157.3505121487356,Intel Core i5,0.0,,Intel,Windows
Lenovo,Notebook,4.0,2.2,9.964522443121997,0.0,,,AMD Processor,0.0,,AMD,Windows
Acer,Notebook,4.0,2.1,9.954446791133256,0.0,0.0,100.45466986113652,AMD Processor,1000.0,0.0,AMD,Windows
Dell,Gaming,,2.65,11.18267988243989,0.0,1.0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
HP,Ultrabook,8.0,,10.525211768465944,0.0,1.0,141.21199808219862,Intel Core i7,,256.0,Nvidia,Windows
HP,Notebook,8.0,1.96,10.370805929717411,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Asus,Gaming,16.0,2.2,,,1.0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Dell,Ultrabook,8.0,1.21,11.383485348791732,0.0,1.0,165.6321180513006,Intel Core i7,0.0,,Intel,Windows
Asus,Gaming,8.0,2.45,10.525211768465944,0.0,0.0,,AMD Processor,1000.0,0.0,AMD,Windows
Acer,Notebook,8.0,2.2,10.510802297245792,0.0,0.0,141.21199808219862,Intel Core i7,1000.0,0.0,Nvidia,Windows
HP,Notebook,16.0,1.49,11.063134731790107,0.0,0.0,165.6321180513006,Intel Core i7,0.0,512.0,Intel,Windows
Dell,Gaming,8.0,2.65,,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Windows
Asus,Ultrabook,8.0,1.25,10.931153634628432,0.0,0.0,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Acer,2 in 1 Convertible,,,10.717261720884188,1.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,8.0,2.2,10.37232400089118,0.0,0.0,141.21199808219862,Intel Core i7,,0.0,AMD,Others
Dell,Notebook,4.0,2.2,,0.0,0.0,141.21199808219862,Intel Core i3,0.0,256.0,AMD,Others
Asus,Notebook,6.0,2.0,10.333403292740233,0.0,0.0,141.21199808219862,Intel Core i3,0.0,256.0,Nvidia,Windows
HP,Gaming,12.0,2.62,11.105659536357711,0.0,1.0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
HP,Notebook,8.0,1.91,,0.0,,,Intel Core i7,0.0,256.0,AMD,Windows
HP,Notebook,4.0,2.1,9.83063294843456,0.0,0.0,141.21199808219862,AMD Processor,500.0,0.0,AMD,Windows
Dell,Notebook,8.0,2.2,,0.0,0.0,141.21199808219862,Intel Core i5,1000.0,0.0,AMD,Others
HP,Ultrabook,8.0,1.38,10.99575173454406,0.0,1.0,165.6321180513006,Intel Core i7,0.0,256.0,Nvidia,Windows
Microsoft,Ultrabook,8.0,1.252,11.17598591917709,1.0,0.0,200.84255993695703,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,6.0,1.58,10.46628456073464,0.0,1.0,,Intel Core i5,0.0,256.0,Nvidia,Windows
Lenovo,Notebook,4.0,1.85,10.003598553570956,0.0,0.0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
Asus,Ultrabook,8.0,1.3,11.05978744833005,0.0,1.0,157.3505121487356,Intel Core i7,0.0,,Nvidia,Windows
MSI,Gaming,16.0,,11.144911042902732,0.0,0.0,141.21199808219862,Intel Core i7,1000.0,,Nvidia,Windows
Lenovo,Notebook,8.0,1.58,11.275358392990295,0.0,,157.3505121487356,Intel Core i7,0.0,,Intel,Windows
Asus,Ultrabook,16.0,1.5,,0.0,0.0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Dell,Ultrabook,8.0,1.23,11.204674904025437,1.0,0.0,276.053530085501,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,2 in 1 Convertible,8.0,1.37,11.219074000897615,1.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,4.0,,10.55758616512496,0.0,1.0,111.93520355955212,Intel Core i5,500.0,0.0,Intel,Windows
Dell,Ultrabook,8.0,1.21,11.37128263483418,0.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
HP,2 in 1 Convertible,8.0,1.26,11.219066852909238,1.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,8.0,,10.963974208231726,0.0,0.0,157.3505121487356,Intel Core i7,0.0,,Intel,Windows
Dell,Notebook,8.0,,11.005825930702713,0.0,1.0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Asus,Notebook,4.0,2.0,10.310615277730191,0.0,0.0,127.33567457123112,Intel Core i3,1000.0,0.0,Nvidia,Windows
Asus,Notebook,8.0,1.7,10.994857679947176,0.0,0.0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Acer,Notebook,6.0,2.1,10.147261623643049,1.0,1.0,141.21199808219862,Intel Core i3,,0.0,Intel,Windows
MSI,Gaming,16.0,1.8,11.690461589827628,0.0,0.0,141.21199808219862,Intel Core i7,,,Nvidia,Windows
Lenovo,Notebook,8.0,,10.419692282932576,0.0,0.0,,Intel Core i5,0.0,,Nvidia,Others
HP,Notebook,16.0,2.5,11.123120297421588,0.0,0.0,127.33567457123112,Intel Core i7,,512.0,Nvidia,Windows
Acer,Notebook,,2.1,10.087028365734811,0.0,0.0,100.45466986113652,AMD Processor,0.0,,AMD,Windows
HP,Notebook,4.0,,9.532389087931673,,0.0,,Other Intel Processor,500.0,0.0,Intel,Others
HP,Notebook,,1.63,10.675061366393813,0.0,0.0,157.3505121487356,Intel Core i5,1000.0,0.0,Intel,Windows
Asus,Notebook,4.0,1.65,9.603146168052769,0.0,0.0,111.93520355955212,AMD Processor,,64.0,AMD,Windows
Dell,Notebook,16.0,2.8,11.216927309554451,0.0,0.0,127.33567457123112,Intel Core i7,2000.0,256.0,AMD,Windows
HP,Notebook,8.0,2.5,10.808592759018332,0.0,0.0,127.33567457123112,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,8.0,2.36,10.435449831034946,0.0,0.0,100.45466986113652,Intel Core i5,1000.0,0.0,AMD,Windows
Dell,Notebook,4.0,2.2,10.082583913974387,0.0,0.0,141.21199808219862,Intel Core i3,1000.0,0.0,AMD,Windows
Acer,Ultrabook,8.0,1.6,10.760018088869778,0.0,1.0,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Acer,Notebook,4.0,,,0.0,0.0,141.21199808219862,Intel Core i3,0.0,256.0,Nvidia,Windows
HP,Notebook,8.0,2.05,,,0.0,100.45466986113652,Intel Core i7,1000.0,0.0,Intel,Windows
HP,Notebook,8.0,1.63,10.87124372398,0.0,0.0,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,,1.9,,0.0,0.0,100.45466986113652,Other Intel Processor,1000.0,0.0,Intel,Others
Asus,Gaming,8.0,3.0,10.81931097523836,0.0,0.0,127.33567457123112,Intel Core i5,1000.0,,Nvidia,Windows
Lenovo,Notebook,4.0,2.2,10.188167121983652,0.0,0.0,141.21199808219862,Intel Core i5,1000.0,0.0,Nvidia,Others
HP,Notebook,4.0,1.32,10.525211768465944,0.0,1.0,,Intel Core i5,0.0,256.0,Intel,Windows
Acer,Notebook,4.0,3.0,10.460196261867386,0.0,1.0,127.33567457123112,Intel Core i3,1000.0,0.0,Nvidia,Windows
Lenovo,Notebook,8.0,,10.99308509015976,0.0,1.0,157.3505121487356,Intel Core i5,0.0,256.0,AMD,Windows
Lenovo,Gaming,8.0,2.4,10.742904151497523,0.0,1.0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Others
Toshiba,Notebook,4.0,2.1,10.375818471540954,0.0,0.0,100.45466986113652,Intel Core i5,500.0,0.0,Intel,Windows
HP,Notebook,4.0,1.86,9.88635767027266,0.0,0.0,100.45466986113652,AMD Processor,0.0,256.0,AMD,Windows
Asus,Ultrabook,8.0,,10.977716980635757,0.0,,157.3505121487356,Intel Core i7,,256.0,Intel,Windows
HP,Ultrabook,8.0,0.97,11.583439099510642,1.0,1.0,352.4651472131677,Other Intel Processor,0.0,,Intel,Windows
Asus,Notebook,4.0,2.0,,0.0,0.0,141.21199808219862,Other Intel Processor,1000.0,0.0,Intel,Windows
MSI,Gaming,,,11.590859366057948,,0.0,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Acer,Notebook,4.0,2.1,10.078119620845705,,0.0,100.45466986113652,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Gaming,16.0,2.56,,0.0,0.0,141.21199808219862,Intel Core i7,0.0,512.0,Nvidia,Windows
Dell,Gaming,8.0,2.62,10.776844060703754,0.0,0.0,141.21199808219862,Intel Core i7,0.0,0.0,Nvidia,Windows
Lenovo,Notebook,4.0,1.9,10.186161103256786,0.0,0.0,100.45466986113652,Intel Core i5,0.0,128.0,Intel,Windows
MSI,Gaming,16.0,,11.51989313428582,0.0,0.0,127.33567457123112,Intel Core i7,1000.0,,Nvidia,Windows
HP,Ultrabook,4.0,1.48,,0.0,0.0,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,6.0,1.91,10.403666298916727,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,AMD,Windows
Lenovo,2 in 1 Convertible,4.0,1.74,10.419692282932576,,1.0,157.3505121487356,Intel Core i3,0.0,256.0,Intel,Windows
Asus,2 in 1 Convertible,8.0,1.1,11.157152970844,1.0,0.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
Dell,2 in 1 Convertible,8.0,1.56,10.931153634628432,1.0,0.0,141.21199808219862,Intel Core i7,0.0,,Intel,Windows
Toshiba,Notebook,4.0,2.1,10.078119620845705,0.0,0.0,100.45466986113652,Intel Core i3,500.0,,Intel,Windows
Asus,Notebook,4.0,2.03,9.974497588178815,0.0,0.0,100.45466986113652,AMD Processor,1000.0,,AMD,Windows
Acer,Notebook,4.0,3.0,10.666403303650696,,,127.33567457123112,Intel Core i5,0.0,256.0,Nvidia,Windows
Dell,Notebook,8.0,2.13,10.56586207442882,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,AMD,Windows
Lenovo,Gaming,16.0,2.5,10.959350991490268,0.0,1.0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Acer,Notebook,4.0,2.1,9.827763506006608,0.0,0.0,100.45466986113652,Other Intel Processor,1000.0,0.0,Intel,Windows
MSI,Gaming,16.0,2.4,11.470547260182666,0.0,1.0,141.21199808219862,Intel Core i7,1000.0,,Nvidia,Windows
Acer,Notebook,4.0,2.1,9.871367833143674,,0.0,100.45466986113652,Other Intel Processor,1000.0,0.0,Intel,Windows
Dell,Gaming,8.0,2.56,10.942047370678033,0.0,0.0,141.21199808219862,Intel Core i7,,128.0,Nvidia,Windows
Acer,Notebook,8.0,,10.725492220020705,0.0,1.0,127.33567457123112,Intel Core i5,0.0,256.0,Nvidia,Windows
HP,Notebook,4.0,1.49,10.60095339424009,0.0,1.0,165.6321180513006,Intel Core i5,,0.0,Intel,Windows
Huawei,Ultrabook,8.0,1.05,,0.0,1.0,199.69207064108247,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,6.0,2.71,10.525211768465944,0.0,1.0,127.33567457123112,Intel Core i5,2000.0,0.0,AMD,Windows
Lenovo,Notebook,4.0,2.2,,0.0,0.0,100.45466986113652,AMD Processor,500.0,0.0,AMD,Others
Toshiba,Notebook,4.0,2.0,,0.0,0.0,100.45466986113652,Intel Core i3,500.0,0.0,Intel,Windows
HP,Notebook,8.0,2.5,10.803190260734986,0.0,,127.33567457123112,Intel Core i5,0.0,256.0,Nvidia,Windows
Dell,Notebook,8.0,2.3,10.104611236292678,0.0,0.0,100.45466986113652,Intel Core i3,1000.0,0.0,Intel,Windows
Acer,Notebook,4.0,2.1,10.082583913974387,,0.0,100.45466986113652,Intel Core i3,0.0,128.0,Intel,Windows
MSI,Gaming,32.0,4.4,11.912578515747589,0.0,0.0,,Intel Core i7,1000.0,512.0,Nvidia,Windows
Lenovo,Notebook,8.0,1.9,10.676292135779944,0.0,,141.21199808219862,Intel Core i5,,128.0,AMD,Windows
HP,2 in 1 Convertible,8.0,1.29,11.288114524334732,,1.0,331.2642361026012,Intel Core i5,,256.0,Intel,Windows
Dell,Notebook,16.0,2.02,10.931153634628432,0.0,0.0,141.21199808219862,Intel Core i7,2000.0,256.0,AMD,Others
Dell,Ultrabook,8.0,1.23,,0.0,0.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
Lenovo,2 in 1 Convertible,16.0,1.4,11.49796125761926,1.0,,316.96506044349616,Intel Core i7,0.0,512.0,Intel,Windows
Toshiba,Notebook,8.0,2.0,,0.0,0.0,100.45466986113652,Intel Core i5,0.0,128.0,Intel,Windows
Xiaomi,Notebook,8.0,1.95,11.064804181259648,0.0,1.0,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Others
Dell,Notebook,16.0,2.77,11.320925866649002,1.0,0.0,127.33567457123112,Intel Core i7,0.0,512.0,Nvidia,Windows
Dell,Notebook,16.0,2.06,11.757534260666516,1.0,0.0,282.42399616439724,Intel Core i7,0.0,512.0,Nvidia,Windows
Lenovo,Gaming,8.0,2.4,10.633572072102885,0.0,1.0,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Others
Acer,Ultrabook,8.0,1.12,10.872255357854844,0.0,1.0,165.6321180513006,Intel Core i5,0.0,256.0,Intel,Windows
